,Unnamed: 0,dt_iso,pressure,humidity,wind_speed,wind_deg,node_id,P1,P2,wind_deg_bin,P1_minus_1,P2_minus_1,humidity_minus_1,pressure_minus_1,wind_deg_bin_minus_1,wind_speed_minus_1,P1_minus_2,P2_minus_2,humidity_minus_2,pressure_minus_2,wind_deg_bin_minus_2,wind_speed_minus_2,P1_minus_3,P2_minus_3,humidity_minus_3,pressure_minus_3,wind_deg_bin_minus_3,wind_speed_minus_3,P1_minus_4,P2_minus_4,humidity_minus_4,pressure_minus_4,wind_deg_bin_minus_4,wind_speed_minus_4,day_in_year,weekday,hour
4,4,2018-01-01 03:00:00 +0000 UTC,1012,75,7,250,574,1.1204761904761906,0.4533333333333334,25,0.6890476190476189,0.4223809523809524,87.0,1011.0,28.0,4.0,3.0004761904761903,1.8604761904761908,87.0,1011.0,28.0,4.0,8.61,6.448571428571429,91.0,1010.0,26.0,1.0,8.780952380952384,7.145714285714284,70.0,1010.0,19.0,4.0,1,0,3
5,5,2018-01-01 04:00:00 +0000 UTC,1014,81,6,240,574,1.2895238095238093,0.408095238095238,24,1.1204761904761906,0.4533333333333334,75.0,1012.0,25.0,7.0,0.6890476190476189,0.4223809523809524,87.0,1011.0,28.0,4.0,3.0004761904761903,1.8604761904761908,87.0,1011.0,28.0,4.0,8.61,6.448571428571429,91.0,1010.0,26.0,1.0,1,0,4
6,6,2018-01-01 05:00:00 +0000 UTC,1014,75,4,210,574,0.9499999999999998,0.3171428571428572,21,1.2895238095238093,0.408095238095238,81.0,1014.0,24.0,6.0,1.1204761904761906,0.4533333333333334,75.0,1012.0,25.0,7.0,0.6890476190476189,0.4223809523809524,87.0,1011.0,28.0,4.0,3.0004761904761903,1.8604761904761908,87.0,1011.0,28.0,4.0,1,0,5
7,7,2018-01-01 06:00:00 +0000 UTC,1014,70,6,230,574,1.4785714285714286,0.4342857142857143,23,0.9499999999999998,0.3171428571428572,75.0,1014.0,21.0,4.0,1.2895238095238093,0.408095238095238,81.0,1014.0,24.0,6.0,1.1204761904761906,0.4533333333333334,75.0,1012.0,25.0,7.0,0.6890476190476189,0.4223809523809524,87.0,1011.0,28.0,4.0,1,0,6
8,8,2018-01-01 07:00:00 +0000 UTC,1014,70,5,230,574,1.4880952380952384,0.4614285714285714,23,1.4785714285714286,0.4342857142857143,70.0,1014.0,23.0,6.0,0.9499999999999998,0.3171428571428572,75.0,1014.0,21.0,4.0,1.2895238095238093,0.408095238095238,81.0,1014.0,24.0,6.0,1.1204761904761906,0.4533333333333334,75.0,1012.0,25.0,7.0,1,0,7
9,9,2018-01-01 08:00:00 +0000 UTC,1015,80,6,260,574,1.0514285714285714,0.37857142857142856,26,1.4880952380952384,0.4614285714285714,70.0,1014.0,23.0,5.0,1.4785714285714286,0.4342857142857143,70.0,1014.0,23.0,6.0,0.9499999999999998,0.3171428571428572,75.0,1014.0,21.0,4.0,1.2895238095238093,0.408095238095238,81.0,1014.0,24.0,6.0,1,0,8
10,10,2018-01-01 09:00:00 +0000 UTC,1015,75,8,240,574,1.7704761904761903,0.6366666666666666,24,1.0514285714285714,0.37857142857142856,80.0,1015.0,26.0,6.0,1.4880952380952384,0.4614285714285714,70.0,1014.0,23.0,5.0,1.4785714285714286,0.4342857142857143,70.0,1014.0,23.0,6.0,0.9499999999999998,0.3171428571428572,75.0,1014.0,21.0,4.0,1,0,9
11,11,2018-01-01 10:00:00 +0000 UTC,1015,80,6,230,574,2.467142857142857,0.8590476190476191,23,1.7704761904761903,0.6366666666666666,75.0,1015.0,24.0,8.0,1.0514285714285714,0.37857142857142856,80.0,1015.0,26.0,6.0,1.4880952380952384,0.4614285714285714,70.0,1014.0,23.0,5.0,1.4785714285714286,0.4342857142857143,70.0,1014.0,23.0,6.0,1,0,10
12,12,2018-01-01 11:00:00 +0000 UTC,1014,70,8,230,574,3.05,0.8519047619047619,23,2.467142857142857,0.8590476190476191,80.0,1015.0,23.0,6.0,1.7704761904761903,0.6366666666666666,75.0,1015.0,24.0,8.0,1.0514285714285714,0.37857142857142856,80.0,1015.0,26.0,6.0,1.4880952380952384,0.4614285714285714,70.0,1014.0,23.0,5.0,1,0,11
13,13,2018-01-01 12:00:00 +0000 UTC,1013,65,6,240,574,2.693809523809524,0.7728571428571427,24,3.05,0.8519047619047619,70.0,1014.0,23.0,8.0,2.467142857142857,0.8590476190476191,80.0,1015.0,23.0,6.0,1.7704761904761903,0.6366666666666666,75.0,1015.0,24.0,8.0,1.0514285714285714,0.37857142857142856,80.0,1015.0,26.0,6.0,1,0,12
